"Overledenen; doden door verkeersongeval in Nederland, wijze van deelname"
"Geslacht: Totaal mannen en vrouwen"
"";""
"";"Onderwerp";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden"
"";"Wijze van deelname";"Totaal wijze van deelname";"Voetganger";"Fiets";"Brom- en snorfiets en brommobiel";"Gemotoriseerd invalidenvoertuig ...";"Motorfiets";"Personenauto";"Bestelauto, vrachtwagen";"Wijze van deelname; overig";"Wijze van deelname; onbekend"
"Leeftijd";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Totaal alle leeftijden";"2015";"621";"57";"185";"45";"41";"47";"224";"19";"2";"1"
"Totaal alle leeftijden";"2016";"629";"51";"189";"44";"38";"45";"231";"29";"2";"0"
"Totaal alle leeftijden";"2017";"613";"58";"206";"46";"25";"51";"201";"25";"1";"0"
"Totaal alle leeftijden";"2018";"678";"54";"228";"39";"44";"42";"233";"26";"12";"0"
"Totaal alle leeftijden";"2019";"661";"49";"203";"45";"42";"52";"237";"28";"5";"0"
"Jonger dan 15 jaar";"2015";"18";"3";"9";"2";"0";"0";"4";"0";"0";"0"
"Jonger dan 15 jaar";"2016";"12";"2";"6";"0";"0";"0";"4";"0";"0";"0"
"Jonger dan 15 jaar";"2017";"16";"7";"4";"1";"0";"0";"4";"0";"0";"0"
"Jonger dan 15 jaar";"2018";"19";"1";"10";"0";"0";"0";"4";"0";"4";"0"
"Jonger dan 15 jaar";"2019";"11";"1";"7";"0";"0";"0";"3";"0";"0";"0"
"15 tot 20 jaar";"2015";"44";"1";"8";"6";"0";"3";"22";"3";"1";"0"
"15 tot 20 jaar";"2016";"31";"4";"5";"6";"0";"1";"15";"0";"0";"0"
"15 tot 20 jaar";"2017";"33";"3";"4";"12";"0";"0";"13";"1";"0";"0"
"15 tot 20 jaar";"2018";"36";"2";"5";"6";"0";"1";"22";"0";"0";"0"
"15 tot 20 jaar";"2019";"38";"1";"8";"6";"0";"0";"22";"1";"0";"0"
"20 tot 30 jaar";"2015";"87";"6";"8";"8";"0";"13";"47";"4";"0";"1"
"20 tot 30 jaar";"2016";"99";"3";"10";"7";"0";"15";"56";"7";"1";"0"
"20 tot 30 jaar";"2017";"80";"7";"7";"2";"0";"9";"48";"7";"0";"0"
"20 tot 30 jaar";"2018";"87";"3";"8";"1";"0";"10";"57";"7";"1";"0"
"20 tot 30 jaar";"2019";"112";"6";"10";"7";"0";"21";"58";"9";"1";"0"
"30 tot 40 jaar";"2015";"54";"5";"4";"5";"0";"8";"30";"2";"0";"0"
"30 tot 40 jaar";"2016";"48";"3";"3";"4";"0";"8";"24";"6";"0";"0"
"30 tot 40 jaar";"2017";"67";"5";"11";"1";"0";"12";"29";"9";"0";"0"
"30 tot 40 jaar";"2018";"60";"4";"9";"2";"0";"14";"23";"6";"2";"0"
"30 tot 40 jaar";"2019";"71";"4";"8";"4";"0";"11";"35";"5";"4";"0"
"40 tot 50 jaar";"2015";"55";"4";"8";"4";"1";"14";"22";"2";"0";"0"
"40 tot 50 jaar";"2016";"56";"3";"13";"4";"1";"8";"22";"4";"1";"0"
"40 tot 50 jaar";"2017";"65";"4";"16";"6";"1";"12";"23";"3";"0";"0"
"40 tot 50 jaar";"2018";"59";"3";"12";"4";"0";"8";"29";"2";"1";"0"
"40 tot 50 jaar";"2019";"46";"1";"10";"2";"0";"8";"23";"2";"0";"0"
"50 tot 60 jaar";"2015";"73";"14";"13";"7";"3";"5";"23";"8";"0";"0"
"50 tot 60 jaar";"2016";"80";"5";"17";"10";"1";"8";"32";"7";"0";"0"
"50 tot 60 jaar";"2017";"64";"4";"15";"2";"0";"7";"32";"3";"1";"0"
"50 tot 60 jaar";"2018";"67";"4";"34";"8";"1";"3";"11";"5";"1";"0"
"50 tot 60 jaar";"2019";"59";"3";"14";"8";"3";"4";"23";"4";"0";"0"
"60 tot 70 jaar";"2015";"78";"6";"36";"5";"4";"4";"23";"0";"0";"0"
"60 tot 70 jaar";"2016";"75";"3";"27";"2";"7";"5";"28";"3";"0";"0"
"60 tot 70 jaar";"2017";"74";"5";"34";"8";"0";"9";"17";"1";"0";"0"
"60 tot 70 jaar";"2018";"78";"5";"32";"7";"3";"4";"21";"3";"3";"0"
"60 tot 70 jaar";"2019";"75";"7";"27";"10";"1";"5";"23";"2";"0";"0"
"70 tot 80 jaar";"2015";"93";"8";"48";"3";"11";"0";"22";"0";"1";"0"
"70 tot 80 jaar";"2016";"93";"10";"47";"6";"6";"0";"23";"1";"0";"0"
"70 tot 80 jaar";"2017";"92";"9";"52";"6";"7";"2";"15";"1";"0";"0"
"70 tot 80 jaar";"2018";"129";"16";"52";"8";"10";"2";"38";"3";"0";"0"
"70 tot 80 jaar";"2019";"123";"8";"65";"4";"10";"3";"28";"5";"0";"0"
"80 jaar of ouder";"2015";"119";"10";"51";"5";"22";"0";"31";"0";"0";"0"
"80 jaar of ouder";"2016";"135";"18";"61";"5";"23";"0";"27";"1";"0";"0"
"80 jaar of ouder";"2017";"122";"14";"63";"8";"17";"0";"20";"0";"0";"0"
"80 jaar of ouder";"2018";"143";"16";"66";"3";"30";"0";"28";"0";"0";"0"
"80 jaar of ouder";"2019";"126";"18";"54";"4";"28";"0";"22";"0";"0";"0"
"Bron: CBS"
