unit,vehicle,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
NR,ANI_RD,BE	0 	0 	0 	1 	1 	0 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ANI_RD,BG	6 	5 	6 	5 	3 	5 	12 	7 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ANI_RD,DK	0 	0 	0 	1 	0 	1 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ANI_RD,EE	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ANI_RD,HR	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ANI_RD,HU	1 	1 	3 	2 	2 	0 	5 	6 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ANI_RD,IS	: 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 
NR,ANI_RD,IT	0 	1 	1 	2 	1 	0 	2 	3 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ANI_RD,LV	: 	: 	: 	: 	1 	0 	: 	: 	2 	0 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 
NR,ANI_RD,MT	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ANI_RD,NO	: 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	: 	: 
NR,ANI_RD,PT	: 	2 	0 	5 	1 	1 	1 	3 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ANI_RD,UK	3 	0 	0 	0 	1 	2 	4 	4 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BIKE,AT	41 	32 	48 	39 	45 	52 	52 	42 	32 	39 	62 	37 	48 	47 	58 	56 	80 	55 	62 	68 
NR,BIKE,BE	89 	76 	81 	90 	82 	83 	69 	70 	73 	89 	86 	90 	92 	71 	79 	110 	105 	130 	134 	122 
NR,BIKE,BG	21 	22 	35 	29 	29 	31 	32 	17 	27 	29 	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BIKE,CH	39 	37 	33 	39 	34 	21 	36 	39 	34 	54 	27 	30 	35 	37 	42 	48 	26 	38 	: 	: 
NR,BIKE,CY	1 	4 	0 	1 	1 	2 	1 	2 	2 	2 	6 	3 	2 	1 	: 	: 	: 	: 	: 	: 
NR,BIKE,CZ	56 	57 	53 	84 	68 	74 	78 	63 	80 	84 	93 	116 	110 	115 	131 	159 	160 	141 	151 	142 
NR,BIKE,DE	445 	382 	393 	383 	396 	354 	406 	399 	381 	462 	456 	425 	486 	575 	475 	616 	583 	635 	659 	: 
NR,BIKE,DK	28 	27 	31 	26 	30 	33 	22 	30 	26 	25 	54 	54 	31 	41 	53 	47 	52 	56 	58 	59 
NR,BIKE,EE	3 	1 	4 	0 	0 	0 	0 	0 	0 	7 	9 	13 	13 	7 	: 	: 	: 	: 	: 	: 
NR,BIKE,EL	12 	11 	18 	11 	19 	15 	21 	13 	23 	15 	22 	16 	21 	18 	24 	21 	14 	29 	22 	23 
NR,BIKE,ES	58 	78 	67 	58 	74 	68 	72 	47 	63 	55 	55 	86 	68 	78 	85 	75 	93 	97 	81 	118 
NR,BIKE,FI	21 	23 	26 	31 	27 	20 	19 	19 	26 	20 	18 	22 	29 	43 	26 	39 	53 	59 	53 	63 
NR,BIKE,FR	175 	173 	162 	149 	159 	147 	164 	141 	147 	162 	148 	142 	181 	180 	174 	199 	221 	253 	266 	321 
NR,BIKE,HR	22 	23 	27 	34 	19 	23 	21 	28 	28 	29 	47 	28 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BIKE,HU	68 	81 	73 	83 	98 	68 	84 	85 	92 	103 	109 	158 	153 	152 	183 	178 	: 	: 	: 	: 
NR,BIKE,IE	: 	: 	10 	10 	13 	5 	8 	9 	5 	7 	13 	15 	9 	10 	11 	10 	18 	12 	10 	14 
NR,BIKE,IS	0 	2 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
NR,BIKE,IT	219 	254 	275 	251 	273 	251 	292 	282 	265 	295 	288 	352 	311 	335 	322 	355 	326 	366 	401 	402 
